"Row"	"Column"	"Gene"	"Size"	"Media"	"Time.Point"	"Temp"	"Array"	"Condition"	"Well"
10	18	"C1C1 rho c1e1 pr27"	255	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c18"
10	19	"C1C1 rho c1e1 pr27"	249	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c19"
10	20	"C1C1 rho c1e1 pr27"	246	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c20"
10	21	"C1C1 rho c1e1 pr27"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c21"
10	22	"C1C1 rho c1e1 pr27"	244	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c22"
10	23	"C1C1 rho c1e1 pr27"	242	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c23"
10	26	"C1C1 rho c1e1 pr28"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c26"
10	27	"C1C1 rho c1e1 pr28"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c27"
10	28	"C1C1 rho c1e1 pr28"	223	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c28"
10	29	"C1C1 rho c1e1 pr28"	224	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c29"
10	30	"C1C1 rho c1e1 pr28"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c30"
10	31	"C1C1 rho c1e1 pr28"	257	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c31"
10	42	"C1C1 rho c1e1 pr30"	11	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c42"
10	43	"C1C1 rho c1e1 pr30"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c43"
10	44	"C1C1 rho c1e1 pr30"	263	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c44"
10	45	"C1C1 rho c1e1 pr30"	253	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c45"
10	46	"C1C1 rho c1e1 pr30"	265	"YPEG"	0	"37"	"1"	"YPEG_37"	"r10c46"
11	3	"C1C1 rho c1e1 pr25"	215	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c3"
11	4	"C1C1 rho c1e1 pr25"	210	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c4"
11	5	"C1C1 rho c1e1 pr25"	241	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c5"
11	6	"C1C1 rho c1e1 pr25"	246	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c6"
11	7	"C1C1 rho c1e1 pr25"	226	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c7"
11	10	"C1C1 rho c1e1 pr26"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c10"
11	11	"C1C1 rho c1e1 pr26"	291	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c11"
11	12	"C1C1 rho c1e1 pr26"	238	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c12"
11	13	"C1C1 rho c1e1 pr26"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c13"
11	14	"C1C1 rho c1e1 pr26"	225	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c14"
11	15	"C1C1 rho c1e1 pr26"	245	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c15"
11	18	"C1C1 rho c1e1 pr27"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c18"
11	19	"C1C1 rho c1e1 pr27"	221	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c19"
11	20	"C1C1 rho c1e1 pr27"	245	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c20"
11	21	"C1C1 rho c1e1 pr27"	242	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c21"
11	22	"C1C1 rho c1e1 pr27"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c22"
11	23	"C1C1 rho c1e1 pr27"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c23"
11	26	"C1C1 rho c1e1 pr28"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c26"
11	27	"C1C1 rho c1e1 pr28"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c27"
11	28	"C1C1 rho c1e1 pr28"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c28"
11	29	"C1C1 rho c1e1 pr28"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c29"
11	30	"C1C1 rho c1e1 pr28"	232	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c30"
11	31	"C1C1 rho c1e1 pr28"	223	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c31"
11	42	"C1C1 rho c1e1 pr30"	276	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c42"
11	43	"C1C1 rho c1e1 pr30"	260	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c43"
11	44	"C1C1 rho c1e1 pr30"	276	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c44"
11	45	"C1C1 rho c1e1 pr30"	268	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c45"
11	46	"C1C1 rho c1e1 pr30"	260	"YPEG"	0	"37"	"1"	"YPEG_37"	"r11c46"
14	3	"C1C1 rho c1e1 pr37"	221	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c3"
14	4	"C1C1 rho c1e1 pr37"	226	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c4"
14	5	"C1C1 rho c1e1 pr37"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c5"
14	6	"C1C1 rho c1e1 pr37"	283	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c6"
14	7	"C1C1 rho c1e1 pr37"	257	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c7"
14	10	"C1C1 rho c1e1 pr38"	280	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c10"
14	11	"C1C1 rho c1e1 pr38"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c11"
14	12	"C1C1 rho c1e1 pr38"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c12"
14	13	"C1C1 rho c1e1 pr38"	266	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c13"
14	14	"C1C1 rho c1e1 pr38"	271	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c14"
14	15	"C1C1 rho c1e1 pr38"	238	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c15"
14	18	"C1C1 rho c1e1 pr39"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c18"
14	19	"C1C1 rho c1e1 pr39"	248	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c19"
14	20	"C1C1 rho c1e1 pr39"	254	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c20"
14	21	"C1C1 rho c1e1 pr39"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c21"
14	22	"C1C1 rho c1e1 pr39"	236	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c22"
14	23	"C1C1 rho c1e1 pr39"	256	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c23"
14	26	"C1C1 rho c1e1 pr40"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c26"
14	27	"C1C1 rho c1e1 pr40"	316	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c27"
14	28	"C1C1 rho c1e1 pr40"	421	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c28"
14	29	"C1C1 rho c1e1 pr40"	243	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c29"
14	30	"C1C1 rho c1e1 pr40"	253	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c30"
14	31	"C1C1 rho c1e1 pr40"	265	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c31"
14	34	"C1C1 rho c1e1 pr41"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c34"
14	35	"C1C1 rho c1e1 pr41"	270	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c35"
14	36	"C1C1 rho c1e1 pr41"	273	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c36"
14	37	"C1C1 rho c1e1 pr41"	252	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c37"
14	38	"C1C1 rho c1e1 pr41"	262	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c38"
14	39	"C1C1 rho c1e1 pr41"	256	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c39"
14	42	"C1C1 rho c1e1 pr42"	271	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c42"
14	43	"C1C1 rho c1e1 pr42"	273	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c43"
14	44	"C1C1 rho c1e1 pr42"	275	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c44"
14	45	"C1C1 rho c1e1 pr42"	245	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c45"
14	46	"C1C1 rho c1e1 pr42"	270	"YPEG"	0	"37"	"1"	"YPEG_37"	"r14c46"
15	3	"C1C1 rho c1e1 pr37"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c3"
15	4	"C1C1 rho c1e1 pr37"	269	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c4"
15	5	"C1C1 rho c1e1 pr37"	221	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c5"
15	6	"C1C1 rho c1e1 pr37"	218	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c6"
15	7	"C1C1 rho c1e1 pr37"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c7"
15	10	"C1C1 rho c1e1 pr38"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c10"
15	11	"C1C1 rho c1e1 pr38"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c11"
15	12	"C1C1 rho c1e1 pr38"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c12"
15	13	"C1C1 rho c1e1 pr38"	214	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c13"
15	14	"C1C1 rho c1e1 pr38"	226	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c14"
15	15	"C1C1 rho c1e1 pr38"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c15"
15	18	"C1C1 rho c1e1 pr39"	247	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c18"
15	19	"C1C1 rho c1e1 pr39"	242	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c19"
15	20	"C1C1 rho c1e1 pr39"	250	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c20"
15	21	"C1C1 rho c1e1 pr39"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c21"
15	22	"C1C1 rho c1e1 pr39"	245	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c22"
15	23	"C1C1 rho c1e1 pr39"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c23"
15	26	"C1C1 rho c1e1 pr40"	235	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c26"
15	27	"C1C1 rho c1e1 pr40"	233	"YPEG"	0	"37"	"1"	"YPEG_37"	"r15c27"
