"Row"	"Column"	"Gene"	"Media"	"Temp"	"Array"	"Condition"	"Well"	"CC"	"R"	"MinSize"	"Corr"
7	27	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c27"	2820.70996583896	0.0517768873378879	418.362246968966	0.997095403433929
7	28	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c28"	2746.72822916255	0.0516746173844585	399.862437413679	0.99749944275691
7	29	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c29"	2799.27398871183	0.051224213575692	421.530141341929	0.997418291220232
7	30	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c30"	2818.83572101928	0.051307855779833	423.552789854893	0.997189852429803
7	31	"C1C1 rho c1e1 pr16"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c31"	2889.04145018769	0.0504346257541287	433.870873598052	0.997122754662412
7	34	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c34"	2973.08738080758	0.0489495059186667	431.475535065316	0.997127431932921
7	35	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c35"	3081.20038841015	0.0481398854762798	463.074768593659	0.997120055013602
7	36	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c36"	3085.94663765251	0.0482875968069075	471.196017911428	0.996873319257077
7	37	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c37"	3064.35389110841	0.0479571640939936	472.773919508615	0.99733906828209
7	38	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c38"	3064.97836961201	0.0484678195391483	472.192174855536	0.997113382151376
7	39	"C1C1 rho c1e1 pr17"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c39"	3053.15998721165	0.0473168304863815	477.387723537131	0.996851174811746
7	42	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c42"	2968.03368298206	0.0493848593497784	481.096125206488	0.99662880907719
7	43	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c43"	2900.77964504397	0.0501611590490616	473.786612966881	0.996559218203542
7	44	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c44"	2965.81214714651	0.0489115626643775	482.854308921383	0.996143899283325
7	45	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c45"	3025.61445668055	0.0484537561642815	479.597817073636	0.996362793401147
7	46	"C1C1 rho c1e1 pr18"	"YPEG"	"37"	"1"	"YPEG_37"	"r7c46"	3102.68620742887	0.0472694653756472	478.050261051414	0.996848943259435
10	3	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c3"	1939.4934780737	0.0591269937779859	342.886890095101	0.995009837154051
10	4	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c4"	2173.19625681331	0.0582931877389109	440.891356168309	0.994529484177559
10	5	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c5"	2055.75712583915	0.0613161974514051	388.473581075632	0.994006747405931
10	6	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c6"	1916.55128096366	0.0600745540703086	361.814621402549	0.995119102444591
10	7	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c7"	1977.14821977317	0.0616606927861197	381.112549875754	0.99480776117989
10	10	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c10"	2690.99306044099	0.0525543732805098	430.975889827313	0.997172586228949
10	11	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c11"	2601.0036921288	0.0539314300995869	403.896307460715	0.997186415709792
10	12	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c12"	2612.84472286515	0.0532398589846518	414.076823136699	0.997383118488241
10	13	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c13"	2601.93828187744	0.0538270829488487	401.880578917569	0.997364612420755
10	14	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c14"	2655.80930159224	0.0542332699795318	419.195784817989	0.997267853944943
10	15	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c15"	2569.03619912035	0.0534275272222332	390.105223304124	0.997735429457118
10	18	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c18"	2714.08986499193	0.0528736848264644	416.977923537753	0.99761270711966
10	19	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c19"	2698.60112757908	0.0525129384088137	408.311044190688	0.997630251247986
10	20	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c20"	2747.00147231304	0.0528429905306756	415.169164419409	0.997303621325306
10	21	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c21"	2697.41646079984	0.0531050576744059	400.080016959118	0.997432124517868
10	22	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c22"	2705.14002227475	0.052576647903571	401.489149290796	0.997574628242421
10	23	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c23"	2647.30218674518	0.0530950025169914	391.734154947612	0.997849003917174
10	26	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c26"	2616.28581710291	0.0531443613108372	396.550889567558	0.9971450320943
10	27	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c27"	2636.15436758403	0.0529493171013079	400.943431434559	0.997051859110323
10	28	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c28"	2579.95755187128	0.0529510626528599	383.671275997183	0.997139119061926
10	29	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c29"	2586.27069018863	0.0518542360765672	379.961102836876	0.997304246610398
10	30	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c30"	2775.5789479546	0.050901673283477	423.37359940025	0.996921220974538
10	31	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c31"	2863.99497314595	0.0501106141181176	436.79034466177	0.997145519172927
10	42	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c42"	1870.75287073035	0.0555614230055098	153.311096337614	0.996125497125259
10	43	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c43"	2988.08687875872	0.0487656275496904	497.322537676613	0.995947876290517
10	44	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c44"	2957.80848333601	0.0493981768870898	496.591658855553	0.996073149122075
10	45	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c45"	3031.43294896766	0.0476149070988342	494.557153626448	0.995861344428541
10	46	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r10c46"	3089.42747097764	0.0473859086682068	496.972176827534	0.996389707651856
11	3	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c3"	2005.16060800323	0.0588629485200343	369.240772479639	0.994663771223759
11	4	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c4"	1964.26272646866	0.0600509205901227	361.59963072957	0.99453338472349
11	5	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c5"	2048.59908696713	0.0590190876421873	411.224816267401	0.994510885387062
11	6	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c6"	2006.12720229885	0.0602534942571282	393.935429095619	0.995015621246178
11	7	"C1C1 rho c1e1 pr25"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c7"	1897.48831578583	0.0612345966046896	356.676054322264	0.995051974162565
11	10	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c10"	2554.3380879254	0.0534972920373593	389.978482359785	0.997482207008452
11	11	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c11"	2804.59643800333	0.0516706893012565	492.556742720468	0.996778845751277
11	12	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c12"	2525.311780734	0.0545258083782887	387.089173348653	0.997688501160266
11	13	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c13"	2576.4870195467	0.0541714743089347	396.936776976263	0.997327451166926
11	14	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c14"	2510.1380724941	0.0541702590745113	375.239223482298	0.997664027191577
11	15	"C1C1 rho c1e1 pr26"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c15"	2555.62472695916	0.0538734765550649	391.21942539419	0.997795626101498
11	18	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c18"	2717.73894350302	0.0534922271159406	425.492102435914	0.996981698848324
11	19	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c19"	2542.1563008518	0.0532176292169204	377.722258098747	0.99746744169591
11	20	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c20"	2626.62954368085	0.0531576916313456	396.927790593238	0.997629150190323
11	21	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c21"	2614.76186402069	0.0534035621450236	391.968803128303	0.997721869158253
11	22	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c22"	2629.43952922312	0.0534520499488216	391.829947801456	0.99753859168265
11	23	"C1C1 rho c1e1 pr27"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c23"	2637.75045316694	0.0535845900187521	398.679432389512	0.997436445092329
11	26	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c26"	2507.14084326461	0.053614863253463	375.323532016328	0.997705134186892
11	27	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c27"	2575.96104180509	0.0537281559055629	392.096020893307	0.997165454712171
11	28	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c28"	2641.15613930813	0.0533799406974829	405.667359494602	0.99683157014547
11	29	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c29"	2657.19184706242	0.0528388622952625	403.025927060381	0.996934755037162
11	30	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c30"	2716.32733315236	0.0511026482137796	403.113122869741	0.997062758349497
11	31	"C1C1 rho c1e1 pr28"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c31"	2804.632897935	0.050920096070233	414.970085047987	0.996702536755136
11	42	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c42"	3055.70915791073	0.0477574267654424	495.124231934484	0.996596807197176
11	43	"C1C1 rho c1e1 pr30"	"YPEG"	"37"	"1"	"YPEG_37"	"r11c43"	2909.65991639016	0.048758646841921	477.875058574174	0.996247468391815
