"Row"	"Column"	"Gene"
5	24	"C1C1 rho c1e1 pr15"
5	25	"C1C1 rho c1e1 pr16"
5	26	"C1C1 rho c1e1 pr16"
5	27	"C1C1 rho c1e1 pr16"
5	28	"C1C1 rho c1e1 pr16"
5	29	"C1C1 rho c1e1 pr16"
5	30	"C1C1 rho c1e1 pr16"
5	31	"C1C1 rho c1e1 pr16"
5	32	"C1C1 rho c1e1 pr16"
5	33	"C1C1 rho c1e1 pr17"
5	34	"C1C1 rho c1e1 pr17"
5	35	"C1C1 rho c1e1 pr17"
5	36	"C1C1 rho c1e1 pr17"
5	37	"C1C1 rho c1e1 pr17"
5	38	"C1C1 rho c1e1 pr17"
5	39	"C1C1 rho c1e1 pr17"
5	40	"C1C1 rho c1e1 pr17"
5	41	"C1C1 rho c1e1 pr18"
5	42	"C1C1 rho c1e1 pr18"
5	43	"C1C1 rho c1e1 pr18"
5	44	"C1C1 rho c1e1 pr18"
5	45	"C1C1 rho c1e1 pr18"
5	46	"C1C1 rho c1e1 pr18"
5	47	"C1C1 rho c1e1 pr18"
5	48	"C1C1 rho c1e1 pr18"
6	1	"C1C1 rho c1e1 pr13"
6	2	"C1C1 rho c1e1 pr13"
6	3	"C1C1 rho c1e1 pr13"
6	4	"C1C1 rho c1e1 pr13"
6	5	"C1C1 rho c1e1 pr13"
6	6	"C1C1 rho c1e1 pr13"
6	7	"C1C1 rho c1e1 pr13"
6	8	"C1C1 rho c1e1 pr13"
6	9	"C1C1 rho c1e1 pr14"
6	10	"C1C1 rho c1e1 pr14"
6	11	"C1C1 rho c1e1 pr14"
6	12	"C1C1 rho c1e1 pr14"
6	13	"C1C1 rho c1e1 pr14"
6	14	"C1C1 rho c1e1 pr14"
6	15	"C1C1 rho c1e1 pr14"
6	16	"C1C1 rho c1e1 pr14"
6	17	"C1C1 rho c1e1 pr15"
6	18	"C1C1 rho c1e1 pr15"
6	19	"C1C1 rho c1e1 pr15"
6	20	"C1C1 rho c1e1 pr15"
6	21	"C1C1 rho c1e1 pr15"
6	22	"C1C1 rho c1e1 pr15"
6	23	"C1C1 rho c1e1 pr15"
6	24	"C1C1 rho c1e1 pr15"
6	25	"C1C1 rho c1e1 pr16"
6	26	"C1C1 rho c1e1 pr16"
6	27	"C1C1 rho c1e1 pr16"
6	28	"C1C1 rho c1e1 pr16"
6	29	"C1C1 rho c1e1 pr16"
6	30	"C1C1 rho c1e1 pr16"
6	31	"C1C1 rho c1e1 pr16"
6	32	"C1C1 rho c1e1 pr16"
6	33	"C1C1 rho c1e1 pr17"
6	34	"C1C1 rho c1e1 pr17"
6	35	"C1C1 rho c1e1 pr17"
6	36	"C1C1 rho c1e1 pr17"
6	37	"C1C1 rho c1e1 pr17"
6	38	"C1C1 rho c1e1 pr17"
6	39	"C1C1 rho c1e1 pr17"
6	40	"C1C1 rho c1e1 pr17"
6	41	"C1C1 rho c1e1 pr18"
6	42	"C1C1 rho c1e1 pr18"
6	43	"C1C1 rho c1e1 pr18"
6	44	"C1C1 rho c1e1 pr18"
6	45	"C1C1 rho c1e1 pr18"
6	46	"C1C1 rho c1e1 pr18"
6	47	"C1C1 rho c1e1 pr18"
6	48	"C1C1 rho c1e1 pr18"
7	1	"C1C1 rho c1e1 pr13"
7	2	"C1C1 rho c1e1 pr13"
7	3	"C1C1 rho c1e1 pr13"
7	4	"C1C1 rho c1e1 pr13"
7	5	"C1C1 rho c1e1 pr13"
7	6	"C1C1 rho c1e1 pr13"
7	7	"C1C1 rho c1e1 pr13"
7	8	"C1C1 rho c1e1 pr13"
7	9	"C1C1 rho c1e1 pr14"
7	10	"C1C1 rho c1e1 pr14"
